smiles,name,drugname,description,drugbank_id,PubChem_CID
ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Econazole,Econazole,"Econazole is a topical antifungal used to treat tinea pedis, tinea cruris, tinea corporis, cutaneous candidiasis and tinea versicolor.",DB01127,3198.0
ClC1=CC=C(S1)C(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O,Rivaroxaban,Rivaroxaban,Rivaroxaban is a factor Xa inhibitor used to treat deep vein thrombosis (DVT) and pulmonary embolism (PE). May also be used as thrombosis prophylaxis in specific situations.,DB06228,9875401.0
ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,Anagrelide,Anagrelide,"Anagrelide is a platelet-reducing agent used to treat thrombocythemia, and its related complications, secondary to myeloproliferative neoplasms.",DB00261,2182.0
ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,Trazodone,Trazodone,Trazodone is a serotonin uptake inhibitor used to treat major depressive disorder.,DB00656,5533.0
ClC1=CC=CC(Cl)=C1NC1=NCCN1,Clonidine,Clonidine,"Clonidine is an alpha-2 adrenergic agonist used to treat hypertension and severe cancer pain, among other conditions, and to treat withdrawal symptoms from various substances. It is also used to aid in the diagnosis of pheochromocytoma and to prevent migraines.",DB00575,2803.0
ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,Aripiprazole,Aripiprazole,"Aripiprazole is an atypical antipsychotic used in the treatment of a wide variety of mood and psychotic disorders, such as schizophrenia, bipolar I, major depressive disorder, irritability associated with autism, and Tourette's syndrome.",DB01238,60795.0
ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,Clotrimazole,Clotrimazole,Clotrimazole is a topical broad-spectrum antifungal agent used for the treatment of a wide variety of dermatophyte infections and candidiasis.,DB00257,2812.0
ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,Ticlopidine,Ticlopidine,"Ticlopidine is a platelet aggregation inhibitor used in the prevention of conditions associated with thrombi, such as stroke and transient ischemic attacks (TIA).",DB00208,5472.0
ClCCN(CCCl)C1=CNC(=O)NC1=O,Uracil mustard,Uracil mustard,"Nitrogen mustard derivative of uracil. It is a alkylating antineoplastic agent that is used in lymphatic malignancies, and causes mainly gastrointestinal and bone marrow damage.",DB00791,6194.0
ClCCN(CCCl)P1(=O)NCCCO1,Cyclophosphamide,Cyclophosphamide,"Cyclophosphamide is a nitrogen mustard used to treat lymphomas, myelomas, leukemia, mycosis fungoides, neuroblastoma, ovarian adenocarcinoma, retinoblastoma, and breast carcinoma.",DB00531,2907.0
ClCCN(N=O)C(=O)NC1CCCCC1,Lomustine,Lomustine,Lomustine is an alkylating agent used as a part of chemotherapeutic regimens for the treatment of primary and metastatic brain tumors as well as refractory or relapsed Hodgkin's disease in addition to surgical and/or radiotherapeutic treatments.,DB01206,3950.0
ClCCNC(=O)N(CCCl)N=O,Carmustine,Carmustine,"Carmustine is an alkylating agent used in the treatment of various malignancies, including brain tumours and multiple myeloma, among others.",DB00262,2578.0
ClCCNP1(=O)OCCCN1CCCl,Ifosfamide,Ifosfamide,"Ifosfamide is an alkylating and immunosuppressive agent used in chemotherapy for the treatment of cancers, including testicular cancer, ovarian cancer, cervical cancer, osteocarcinoma, bladder cancer, small cell lung cancer, and non-Hodgkin's lymphoma.",DB01181,3690.0
FC(F)(F)C(F)(F)C(F)(F)F,Perflutren,Perflutren,Perflutren is a diagnostic medication to improve contrast during echocardiograms.,DB00556,6432.0
FC(F)(F)C1=CC(=CC=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1,Flibanserin,Flibanserin,"Flibanserin is a 5-HT receptor modulator used for the treatment of selected premenopausal women with acquired, generalized hypoactive sexual desire disorder (HSDD).",DB04908,6918248.0
FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,Halazepam,Halazepam,"Halazepam is a _benzodiazepine_ derivative drug exerting anxiolytic, anticonvulsant, sedative, a muscle relaxing effects.[A1212, A178114] It has been shown to be less toxic than chlordiazepoxide or diazepam.[A1212] This drug is no longer marketed in the United States, and was withdrawn by _Schering_, its manufacturer, in 2009.[L6226, L6229]",DB00801,31640.0
FC(F)(F)CNC(=O)C1(CCCCN2CCC(CC2)NC(=O)C2=C(C=CC=C2)C2=CC=C(C=C2)C(F)(F)F)C2=CC=CC=C2C2=CC=CC=C12,Lomitapide,Lomitapide,"Lomitapide is a microsomal triglyceride transfer protein inhibitor used to lower cholesterol associated with homozygous familial hypercholesterolemia (HoFH), reducing risk of cardiovascular events such as myocardial infarction and stroke.",DB08827,9853053.0
FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,Flecainide,Flecainide,Flecainide is a class Ic antiarrhythmic agent used to manage atrial fibrillation and paroxysmal supraventricular tachycardias (PSVT).,DB01195,3356.0
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,Efavirenz,Efavirenz,Efavirenz is a non-nucleoside reverse transcriptase inhibitor used to treat HIV infection or prevent the spread of HIV.,DB00625,64139.0
FC(F)OC(Cl)C(F)(F)F,Isoflurane,Isoflurane,Isoflurane is an inhaled general anesthetic used in surgery.,DB00753,3763.0
FC(F)OC(F)(F)C(F)Cl,Enflurane,Enflurane,Enflurane is a halogenated inhalational anesthetic agent used for the induction and maintenance of anesthesia and for analgesia during labor and delivery.,DB00228,3226.0
FC(F)OC(F)C(F)(F)F,Desflurane,Desflurane,Desflurane is a general inhalation anesthetic for inpatient and outpatient surgery in adults.,DB01189,42113.0
FC(F)OC1=C(OCC2CC2)C=C(C=C1)C(=O)NC1=C(Cl)C=NC=C1Cl,Roflumilast,Roflumilast,Roflumilast is a selective phosphodiesterase 4 inhibitor indicated to decrease the risk of exacerbations in patients with severe chronic obstructive pulmonary disease (COPD) associated with a history of exacerbations and chronic bronchitis.,DB01656,449193.0
FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,Droperidol,Droperidol,Droperidol is a butyrophenone derivative and dopamine antagonist used to prevent and treat postoperative nausea and vomiting.,DB00450,3168.0
FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1,Pimozide,Pimozide,Pimozide is an antipsychotic used to manage debilitating motor and phonic tics in patients with Tourette's Disorder.,DB01100,16362.0
FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,Paroxetine,Paroxetine,"Paroxetine is a selective serotonin reuptake inhibitor used to treat major depressive disorder, panic disorder, OCD, social phobia, generalized anxiety disorder, the vasomotor symptoms of menopause, and premenstrual dysphoric disorder.",DB00715,43815.0
FC1=CC=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1C(=O)N1CCN(CC1)C(=O)C1CC1,Olaparib,Olaparib,"Olaparib is an inhibitor of poly (ADP-ribose) polymerase (PARP) enzymes, including PARP1, PARP2, and PARP3. PARP enzymes are involved in normal cellular homeostasis, such as DNA transcription, cell cycle regulation, and DNA repair. Olaparib has been shown to inhibit growth of select tumor cell lines in vitro and decrease tumor growth in mouse xenograft models of human cancer both as monotherapy or following platinum-based chemotherapy. Increased cytotoxicity and anti-tumor activity following treatment with olaparib were noted in cell lines and mouse tumor models with deficiencies in BRCA. In vitro studies have shown that olaparib-induced cytotoxicity may involve inhibition of PARP enzymatic activity and increased formation of PARP-DNA complex, resulting in disruption of cellular homeostasis and cell death.",DB09074,
FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2,Quazepam,Quazepam,Quazepam is a long -acting benzodiazepine used to manage insomnia.,DB01589,4999.0
FC1=CNC(=O)NC1=O,Fluorouracil,Fluorouracil,"Fluorouracil is a pyrimidine analog used to treat basal cell carcinomas, and as an injection in palliative cancer treatment.",DB00544,3385.0
FCOC(C(F)(F)F)C(F)(F)F,Sevoflurane,Sevoflurane,Sevoflurane is a inhalation anaesthetic agent used for induction and maintenance of general anesthesia during surgical procedures.,DB01236,5206.0
N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,Letrozole,Letrozole,Letrozole is an aromatase inhibitor used to treat breast cancer in postmenopausal women.,DB01006,3902.0
N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,Ruxolitinib,Ruxolitinib,"Ruxolitinib is a kinase inhibitor used to treat various types of myelofibrosis, polycythemia vera in patients who have not responded to or cannot tolerate hydroxyurea, and to treat graft-versus-host disease in cases that are refractory to steroid treatment.",DB08877,25126798.0
N1C2=CC=CC=C2N=C1C1=CSC=N1,Thiabendazole,Thiabendazole,"2-Substituted benzimidazole first introduced in 1962. It is active against a variety of nematodes and is the drug of choice for strongyloidiasis. It has CNS side effects and hepatototoxic potential. (From Smith and Reynard, Textbook of Pharmacology, 1992, p919)",DB00730,5430.0
NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,Pentamidine,Pentamidine,Pentamidine is an antifungal agent used to treat Pneumocystis pneumonia in patients infected with HIV.,DB00738,4735.0
NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N,Amiloride,Amiloride,Amiloride is a pyrizine compound used to treat hypertension and congestive heart failure.,DB00594,16231.0
NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,Guanfacine,Guanfacine,Guanfacine is an alpha-2A adrenergic receptor agonist used to treat ADHD.,DB01018,3519.0
NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,Darifenacin,Darifenacin,Darifenacin is an M3 muscarinic receptor blocker used to treat urinary incontinence.,DB00496,444031.0
NC(=O)C1=CC2=CC(=CC=C2O1)N1CCN(CCCCC2=CNC3=C2C=C(C=C3)C#N)CC1,Vilazodone,Vilazodone,Vilazodone is an antidepressant agent used for the treatment of major depressive disorder that targets the 5-HT transporter and 5-HT1A receptors.,DB06684,6918314.0
NC(=O)C1=CC=CC2=CN(N=C12)C1=CC=C(C=C1)[C@@H]1CCCNC1,Niraparib,Niraparib,"Niraparib is a poly-ADP ribose polymerase inhibitor used to treat recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer responding to platinum based chemotherapy.",DB11793,24958200.0
NC(=O)C1=CC=CN=C1,Nicotinamide,Nicotinamide,Nicotinamide is an ingredient found in a variety of cosmetic products.,DB02701,936.0
NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1,Rufinamide,Rufinamide,Rufinamide is an antiepileptic drug used as adjunctive therapy to treat seizures associated with Lennox-Gastaut Syndrome (LGS).,DB06201,129228.0
NC(=O)C1=NC=CN=C1,Pyrazinamide,Pyrazinamide,Pyrazinamide is an antituberculosis agent used as a component of tuberculosis (TB) treatment.,DB00339,1046.0
NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Ribavirin,Ribavirin,Ribavirin is a guanosine nucleoside used to treat some forms of Hepatitis C.,DB00811,37542.0
NC(=O)CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1N,Nepafenac,Nepafenac (ophthalmic),Nepafenac is an ophthalmic NSAID used for the symptomatic treatment of pain and inflammation associated with cataract surgery.,DB06802,151075.0
NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,Desmopressin,Desmopressin,Desmopressin is a synthetic analog of vasopressin used to reduce renal excretion of water in central diabetes insipidus and nocturia.,DB00035,
NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,Modafinil,Modafinil,"Modafinil is a stimulant used to improve wakefulness in patients with sleep apnea, narcolepsy, or shift work disorder.",DB00745,4236.0
NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,Armodafinil,Armodafinil,"Armodafinil is a stimulant used to improve wakefulness in adult patients with excessive sleepiness associated with obstructive sleep apnea, narcolepsy, or shift work disorder.",DB06413,9690109.0
NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,Carbamazepine,Carbamazepine,Carbamazepine is an anticonvulsant used to treat various types of seizures and pain resulting from trigeminal neuralgia.,DB00564,2554.0
NC(=O)N1C2=CC=CC=C2CC(=O)C2=C1C=CC=C2,Oxcarbazepine,Oxcarbazepine,Oxcarbazepine is an anti-epileptic used in the treatment of partial-onset seizures.,DB00776,34312.0
NC(=O)NC(=O)CC1=CC=CC=C1,Phenacemide,Phenacemide,Phenacemide is used to control certain seizures in the treatment of epilepsy. This medicine acts on the central nervous system (CNS) to reduce the number and severity of seizures.,DB01121,4753.0
NC(=O)NO,Hydroxyurea,Hydroxyurea,Hydroxyurea is an antimetabolite used to treat sickle cell anemia crisis.,DB01005,3657.0
NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,Felbamate,Felbamate,Felbamate is an anticonvulsant used to treat severe epilepsy.,DB00949,3331.0
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(O)(=O)=O,Avibactam,Avibactam,"Avibactam is a non-β-lactam β-lactamase inhibitor used in combination with ceftazidime for the treatment of complicated intra-abdominal infections, complicated urinary tract infections, and hospital or ventilator-acquired pneumonia.",DB09060,9835049.0
NC(CCC(O)=O)C=C,Vigabatrin,Vigabatrin,Vigabatrin is an irreversible GABA transaminase inhibitor used as an adjunct therapy to treat refractory complex partial seizures in patients ≥2 years unresponsive to alternatives. May also be used as monotherapy to treat infantile spasms in infants 1 month to 2 years.,DB01080,5665.0
NC(CO)(CO)CO,Tromethamine,Tromethamine,"Tromethamine is a proton acceptor used for the prevention and correction of metabolic acidosis associated with various clinical conditions, such as cardiac bypass surgery.",DB03754,6503.0
NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,Famotidine,Famotidine,"Famotidine is a histamine H2 receptor antagonist used to treat duodenal ulcers, benign gastric ulcers, GERD, and Zollinger-Ellison syndrome.",DB00927,3325.0
NC(N)=NCC1=CC(I)=CC=C1,Iobenguane,Iobenguane (I-123),Iobenguane is a radiopharmaceutical agent used for the diagnosis of primary and metastatic pheochromocytoma or neuroblastoma.,DB06704,60860.0
NC(N)=NCC1COC2(CCCCC2)O1,Guanadrel,Guanadrel,Guanadrel is an antihypertensive agent and postganglionic adrenergic blocking agent.,DB00226,38521.0
NC(N)=NCCN1CCCCCCC1,Guanethidine,Guanethidine,"Guanethidine is an antihypertensive agent used in the management of moderate and severe hypertension, either alone or as an adjunct, and for the management of renal hypertension.",DB01170,3518.0
NC(N)=NN=CC1=C(Cl)C=CC=C1Cl,Guanabenz,Guanabenz,Guanabenz is an alpha-2 adrenergic agonist used to treat hypertension.,DB00629,3517.0
NC12CC3CC(CC(C3)C1)C2,Amantadine,Amantadine,"Amantadine is a medication used to treat dyskinesia in Parkinson's patients receiving levodopa, as well as extrapyramidal side effects of medications.",DB00915,2130.0
NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1,Bromfenac,Bromfenac,Bromfenac is an NSAID used to treat postoperative pain and inflammation of the eye.,DB00963,60726.0
NC1=C(F)C=NC(=O)N1,Flucytosine,Flucytosine,Flucytosine is an antifungal indicated only to treat severe infections throughout the body caused by susceptible strains of Candida or Cryptococcus.,DB01099,3366.0
NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,Adenosine,Adenosine,Adenosine is a medication used in myocardial perfusion scintigraphy and to treat supraventricular tachycardia.,DB00640,60961.0
NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,Cladribine,Cladribine,"Cladribine is a purine antimetabolite used for the management of relapsing forms of Multiple Sclerosis (MS), used in patients who have not responded to or who were unable to tolerate alternative MS drugs.",DB00242,20279.0
NC1=CC(=CNC1=O)C1=CC=NC=C1,Amrinone,Amrinone,Amrinone is a positive inotropic agent and phosphodiesterase inhibitor used in the management of treatment of congestive heart failure.,DB01427,3698.0
NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,Minoxidil,Minoxidil,Minoxidil is an antihypertensive vasodilating agent used for resistant hypertension that is symptomatic or has caused end organ damage.,DB00350,4201.0
NC1=CC(C(O)=O)=C(O)C=C1,Mesalazine,Mesalazine,Mesalazine is an aminosalicylate drug used to treat mild to moderate active ulcerative colitis and also to maintain remission once achieved.,DB00244,4075.0
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,Apraclonidine,Apraclonidine,Apraclonidine is an alpha adrenergic agonist used to treat raised intraocular pressure.,DB00964,2216.0
NC1=CC(O)=C(C=C1)C(O)=O,Aminosalicylic acid,Aminosalicylic acid,Aminosalicylic acid is an aminosalicylate drug used to induce remission in ulcerative colitis.,DB00233,4649.0
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,Dapsone,Dapsone,"Dapsone is a sulfone drug used to treat acne vulgaris, Hansen's disease, and dermatitis herpetiformis.",DB00250,2955.0
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,Sulfadiazine,Sulfadiazine,"Sulfadiazine is a sulfonamide antibiotic used in a variety of infections, such as urinary tract infections, trachoma, and chancroid.",DB00359,5215.0
NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,Pomalidomide,Pomalidomide,Pomalidomide is a thalidomide analogue used in combination with dexamethasone to treat patients with multiple myeloma.,DB08910,134780.0
NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,Lenalidomide,Lenalidomide,Lenalidomide is a thalidomide derivative used to treat multiple myeloma and anemia in low to intermediate risk myelodysplastic syndrome.,DB00480,216326.0
NC1=CC=NC=C1,Dalfampridine,Dalfampridine,Dalfampridine is a potassium channel blocker used for the improvement of motor function in patients with multiple sclerosis (MS).,DB06637,1727.0
NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](CO)C1=C,Entecavir,Entecavir,"Entecavir is a nucleoside analogue used in the treatment of chronic hepatitis B for patients with active viral replication, histological evidence of active disease, or persistent elevations in liver transaminases.",DB00442,153941.0
NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,Acyclovir,Acyclovir,"Acyclovir is a guanosine analog used to treat herpes simplex, varicella zoster, herpes zoster.",DB00787,2022.0
NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1,Pemetrexed,Pemetrexed,Pemetrexed is a chemotherapy drug that is manufactured and marketed by Eli Lilly and Company under the brand name Alimta. It is indicated for use in combination with cisplatin for the treatment of patients with malignant pleural mesothelioma whose disease is either unresectable or who are otherwise not candidates for curative surgery. Its use in non-small cell lung cancer has also been investigated.,DB00642,446556.0
NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1,Levoleucovorin,Levoleucovorin,"Levoleucovorin is a folate analog used after high dose methotrexate for osteosarcoma, to reduce the toxic effects of folate analogs, and with 5-fluorouracil in palliative treatment of advanced metastatic colorectal cancer.",DB11596,149436.0
NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,Folic acid,Folic acid,Folic acid is a nutrient used to treat megaloblastic anemia and is found in many supplements.,DB00158,6037.0
NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,Lamivudine,Lamivudine,Lamivudine is a reverse transcriptase inhibitor used to treat HIV and hepatitis B infections.,DB00709,60825.0
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,Gemcitabine,Gemcitabine,"Gemcitabine is a nucleoside metabolic inhibitor used as adjunct therapy in the treatment of certain types of ovarian cancer, non-small cell lung carcinoma, metastatic breast cancer, and as a single agent for pancreatic cancer.",DB00441,60750.0
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Cytarabine,Cytarabine,"Cytarabine is a pyrimidine nucleoside analogue used to treat acute non-lymphocytic leukemia, lymphocytic leukemia, and the blast phase of chronic myelocytic leukemia.",DB00987,6253.0
NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,Zalcitabine,Zalcitabine,Zalcitabine is a dideoxynucleoside used to treat HIV.,DB00943,24066.0
NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,Emtricitabine,Emtricitabine,Emtricitabine is a nucleoside reverse transcriptase inhibitor used for the treatment and prophylaxis of HIV.,DB00879,60877.0
NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Azacitidine,Azacitidine,Azacitidine is a pyrimidine nucleoside analogue used to treat certain subtypes of myelodysplastic syndrome.,DB00928,9444.0
NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1,Decitabine,Decitabine,Decitabine is a chemotherapeutic pyrimidine nucleoside analogue used for the treatment of myelodysplastic syndromes (MDS) by inducing DNA hypomethylation and corresponding alterations in gene expression.,DB01262,451668.0
NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,Cidofovir,Cidofovir,Cidofovir is an antiviral agent used to treat Cytomegalovirus (CMV) retinitis in patients with AIDS.,DB00369,60613.0
NC1=NC(=S)C2=C(N1)N=CN2,Tioguanine,Tioguanine,"Tioguanine is a purine analogue antineoplastic agent used for the induction of remission, and for remission consolidation in patients with acute nonlymphocytic anemias.",DB00352,2723601.0
NC1=NC(CC(=O)NC2=CC=C(CCNC[C@H](O)C3=CC=CC=C3)C=C2)=CS1,Mirabegron,Mirabegron,Mirabegron is a beta-3 adrenergic agonist used to treat overactive bladder and neurogenic detrusor overactivity.,DB08893,9865528.0
NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Fludarabine,Fludarabine,Fludarabine is a purine analog antimetabolite that inhibits DNA synthesis.,DB01073,657237.0
NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1,Phenazopyridine,Phenazopyridine,"Phenazopyridine is a local anesthetic used for the symptomatic relief of pain, burning, urgency, frequency, and general discomfort caused by lower urinary tract irritations that are a result of infection, trauma, surgery, endoscopic procedures, or the passage of equipment or catheters.",DB01438,4756.0
NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,Lamotrigine,Lamotrigine,Lamotrigine is a phenyltriazine antiepileptic used to treat some types of epilepsy and bipolar I disorder.,DB00555,3878.0
NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,Triamterene,Triamterene,Triamterene is a potassium-sparing diuretic used in the treatment of edema and in the management of hypertension.,DB00384,5546.0
NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F,Delafloxacin,Delafloxacin,Delafloxacin is a fluoroquinolone antibiotic used to treat skin and skin structure infections.,DB11943,487101.0
NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1,Ganciclovir,Ganciclovir,Ganciclovir is a DNA polymerase inhibitor used to treat cytomegalovirus and herpetic keratitis of the eye.,DB01004,3454.0
NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,Abacavir,Abacavir,Abacavir is an antiviral nucleoside reverse transcriptase inhibitor used in combination with other antiretrovirals for the treatment of HIV.,DB01048,441300.0
NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,Riluzole,Riluzole,Riluzole is a glutamate antagonist used to treat amyotrophic lateral sclerosis.,DB00740,5070.0
NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,Pralatrexate,Pralatrexate,Pralatrexate is an antineoplastic agent used for the treatment of relapsed or refractory peripheral T-cell lymphoma.,DB06813,148121.0
NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,Ibrutinib,Ibrutinib,"Ibrutinib is a small molecule that acts as an irreversible potent inhibitor of Burton's tyrosine kinase. It is designated as a targeted covalent drug and it presents a very promising activity in B cell malignancies.[A32299] Ibrutinib was developed by Pharmacyclics Inc and in November 2013 was FDA-approved for the treatment of mantle cell lymphoma. Later, in February 2014, ibrutinib was approved for the treatment of chronic lymphocytic leukemia and it is also indicated for the treatment of patients with Waldenstr?m's Macroglobulinemia.[L1926] Ibrutinib has also been approved by the EMA for the treatment of chronic lymphocytic leukemia and mantle cell lymphoma.[A32299] Ibrutinib was approved for use in chronic graft versus host disease in August 2017 [L937].",DB09053,24821094.0
NC1CC1C1=CC=CC=C1,Tranylcypromine,Tranylcypromine,Tranylcypromine is a monoamine oxidase inhibitor used to treat major depressive disorder.,DB00752,5530.0
NCC(=O)CCC(O)=O,Aminolevulinic acid,Aminolevulinic acid,"Aminolevulinic acid is a porphyrin precursor used to treat actinic keratosis of the face, scalp, and upper extremities, as well as to visualize a glioma.",DB00855,137.0
NCC(CC(O)=O)C1=CC=C(Cl)C=C1,Baclofen,Baclofen,Baclofen is a GABA-ergic agonist used to manage severe spasticity of cerebral or spinal origin in adult and pediatric patients.,DB00181,2284.0
NCC1(CC(O)=O)CCCCC1,Gabapentin,Gabapentin,"Gabapentin is an anticonvulsant medication used in the management of peripheral neuropathic pains, postherpetic neuralgia, and partial-onset seizures.",DB00996,3446.0
NCC=C.ClCC1CO1,Sevelamer,Sevelamer,Sevelamer is a phosphate binder used to treat hyperphosphatemia.,DB00658,3085017.0
NCCC(O)(P(O)(O)=O)P(O)(O)=O,Pamidronic acid,Pamidronic acid,"Pamidronic acid is a bisphosphonate used to treat Paget's disease, to treat hypercalcemia of malignancy, and to treat osteolytic bone lesions.",DB00282,4674.0
NCCC1=CC(O)=C(O)C=C1,Dopamine,Dopamine,"Dopamine is a catecholamine neurotransmitter used to treat hemodynamic imbalances, poor perfusion of vital organs, low cardiac output, and hypotension.",DB00988,681.0
NCCC1=CNC=N1,Histamine,Histamine,Histamine is an ingredient of topical drugs for the relief of joint pain or muscle aches and pains.,DB05381,774.0
NCCCC(O)(P(O)(O)=O)P(O)(O)=O,Alendronic acid,Alendronic acid,Alendronic acid is a bisphosphonate drug that prevents osteoclastic bone resorption which is used for the prevention and treatment of osteoporosis.,DB00630,2088.0
NCCCC[C@@H]1NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@@H](NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(OCC3=CC=CC=C3)C=C2)NC1=O)OC(=O)NCCN)C1=CC=CC=C1,Pasireotide,Pasireotide,"Pasireotide is a synthetic long-acting cyclic hexapeptide with somatostatin-like activity. It is marketed as a diaspartate salt called Signifor, which is used in the treatment of Cushing's disease.",DB06663,9941444.0
NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,Lisinopril,Lisinopril,"Lisinopril is an ACE inhibitor used to treat hypertension, heart failure, and acute myocardial infarction.",DB00722,5362119.0
